timestep, red, green, robot_middle
0, [526 502], [616 497], [571 499]
1023, [441 505], [530 496], [485 500]
1056, [437 504], [527 496], [482 500]
1089, [434 505], [524 497], [479 501]
1122, [430 504], [519 498], [474 501]
1155, [427 505], [517 497], [472 501]
1188, [424 505], [512 496], [468 500]
1221, [420 505], [509 496], [464 500]
1254, [417 505], [506 497], [461 501]
1287, [414 506], [503 498], [458 502]
132, [526 501], [616 497], [571 499]
1320, [410 506], [500 498], [455 502]
1353, [407 506], [495 497], [451 501]
1386, [403 506], [492 497], [447 501]
1419, [400 506], [488 497], [444 501]
1452, [396 506], [485 497], [440 501]
1485, [394 507], [482 498], [438 502]
1518, [390 507], [480 499], [435 503]
1551, [386 506], [476 498], [431 502]
1584, [384 507], [471 497], [427 502]
1617, [380 507], [468 497], [424 502]
165, [526 501], [616 497], [571 499]
1650, [377 508], [467 499], [422 503]
1683, [375 509], [463 499], [419 504]
1716, [371 508], [459 499], [415 503]
1749, [368 508], [456 498], [412 503]
1782, [365 509], [453 498], [409 503]
1815, [361 508], [449 499], [405 503]
1848, [357 509], [445 500], [401 504]
1881, [354 510], [442 500], [398 505]
1914, [351 509], [439 500], [395 504]
1947, [346 509], [435 499], [390 504]
198, [526 501], [615 497], [570 499]
1980, [344 511], [431 499], [387 505]
2013, [339 510], [429 500], [384 505]
2046, [335 510], [425 501], [380 505]
2079, [330 513], [421 499], [375 506]
2112, [331 510], [418 499], [374 504]
2145, [326 512], [414 499], [370 505]
2178, [324 512], [412 500], [368 506]
2211, [320 513], [408 500], [364 506]
2244, [317 512], [404 501], [360 506]
2277, [314 513], [401 502], [357 507]
231, [524 502], [614 496], [569 499]
2310, [311 513], [398 501], [354 507]
2343, [308 513], [395 501], [351 507]
2376, [304 513], [392 501], [348 507]
2409, [300 512], [388 501], [344 506]
2442, [297 514], [383 503], [340 508]
2475, [293 514], [379 504], [336 509]
2508, [291 514], [376 503], [333 508]
2541, [287 514], [374 503], [330 508]
2574, [283 515], [371 503], [327 509]
2607, [280 515], [367 504], [323 509]
264, [521 501], [610 496], [565 498]
2640, [277 516], [362 505], [319 510]
2673, [273 516], [360 505], [316 510]
2706, [269 518], [357 505], [313 511]
2739, [266 517], [354 505], [310 511]
2772, [263 518], [350 505], [306 511]
2805, [260 519], [347 505], [303 512]
2838, [256 519], [343 507], [299 513]
2871, [252 520], [341 506], [296 513]
2904, [250 520], [338 504], [294 512]
2937, [246 520], [332 507], [289 513]
297, [517 501], [606 497], [561 499]
2970, [243 520], [326 508], [284 514]
3003, [240 521], [327 507], [283 514]
3036, [238 521], [323 507], [280 514]
3069, [234 521], [320 508], [277 514]
3102, [230 521], [318 509], [274 515]
3135, [227 521], [316 508], [271 514]
3168, [224 522], [311 508], [267 515]
3201, [221 523], [308 508], [264 515]
3234, [218 523], [304 508], [261 515]
3267, [214 523], [301 510], [257 516]
33, [526 502], [616 497], [571 499]
330, [514 502], [603 495], [558 498]
3300, [210 524], [299 509], [254 516]
3333, [207 524], [296 508], [251 516]
3366, [204 524], [292 509], [248 516]
3399, [201 524], [287 512], [244 518]
3432, [198 525], [281 513], [239 519]
3465, [195 526], [279 514], [237 520]
3498, [191 526], [278 512], [234 519]
3531, [188 527], [274 513], [231 520]
3597, [181 527], [265 512], [223 519]
363, [509 502], [599 496], [554 499]
3630, [177 528], [264 512], [220 520]
3663, [174 528], [260 515], [217 521]
3696, [171 528], [256 514], [213 521]
3729, [167 529], [253 513], [210 521]
3762, [164 529], [253 514], [208 521]
3795, [161 530], [247 517], [204 523]
3828, [158 530], [245 516], [201 523]
3861, [154 531], [241 515], [197 523]
3894, [150 531], [239 516], [194 523]
3927, [146 531], [236 515], [191 523]
396, [506 502], [595 494], [550 498]
3960, [144 532], [231 515], [187 523]
3993, [141 532], [227 520], [184 526]
4026, [136 532], [223 520], [179 526]
4092, [131 534], [216 520], [173 527]
4158, [126 535], [213 521], [169 528]
4191, [122 536], [208 522], [165 529]
4224, [118 535], [205 523], [161 529]
4257, [114 536], [203 523], [158 529]
429, [503 501], [591 494], [547 497]
4290, [111 537], [198 525], [154 531]
4323, [107 538], [195 524], [151 531]
4356, [104 538], [191 524], [147 531]
4422, [ 97 539], [187 525], [142 532]
4455, [ 95 539], [185 525], [140 532]
4488, [ 91 540], [182 525], [136 532]
4521, [ 88 540], [179 526], [133 533]
4554, [ 85 542], [176 523], [130 532]
4587, [ 86 542], [176 521], [131 531]
462, [498 501], [587 495], [542 498]
4620, [ 85 541], [172 523], [128 532]
4653, [ 85 541], [175 523], [130 532]
4686, [ 85 540], [176 523], [130 531]
4719, [ 85 540], [176 523], [130 531]
4752, [ 85 540], [175 522], [130 531]
4785, [ 85 540], [175 523], [130 531]
495, [495 502], [584 495], [539 498]
528, [492 501], [582 495], [537 498]
561, [488 502], [578 495], [533 498]
594, [485 502], [575 494], [530 498]
627, [483 503], [572 495], [527 499]
66, [526 501], [616 497], [571 499]
660, [479 504], [568 496], [523 500]
693, [475 503], [564 496], [519 499]
726, [471 504], [562 496], [516 500]
759, [469 503], [557 495], [513 499]
792, [465 503], [555 495], [510 499]
825, [462 503], [551 494], [506 498]
858, [458 504], [547 496], [502 500]
891, [454 504], [545 496], [499 500]
924, [451 505], [541 496], [496 500]
957, [447 505], [537 497], [492 501]
99, [526 501], [616 497], [571 499]
990, [444 505], [533 496], [488 500]
