timestep, red, green, robot_middle
0, [525 500], [623 500], [574 500]
1155, [409 503], [508 496], [458 499]
1221, [404 502], [499 497], [451 499]
1254, [400 502], [496 497], [448 499]
132, [515 501], [615 498], [565 499]
1320, [393 503], [488 498], [440 500]
1353, [389 504], [486 497], [437 500]
1452, [379 504], [475 496], [427 500]
1518, [372 503], [473 497], [422 500]
1551, [370 502], [466 496], [418 499]
1584, [366 502], [464 497], [415 499]
1617, [362 505], [460 497], [411 501]
165, [512 502], [610 498], [561 500]
1650, [360 504], [452 497], [406 500]
1683, [357 503], [453 500], [405 501]
1716, [353 503], [449 498], [401 500]
1749, [350 504], [447 499], [398 501]
1782, [346 504], [445 501], [395 502]
1815, [343 504], [442 500], [392 502]
1848, [340 504], [436 504], [388 504]
1881, [336 505], [436 504], [386 504]
1914, [333 505], [428 501], [380 503]
1947, [330 505], [426 501], [378 503]
198, [508 500], [608 497], [558 498]
1980, [327 506], [418 497], [372 501]
2046, [321 505], [419 505], [370 505]
2178, [307 506], [404 498], [355 502]
2211, [303 506], [399 497], [351 501]
231, [505 500], [605 496], [555 498]
2343, [290 508], [386 504], [338 506]
2376, [287 507], [382 502], [334 504]
2409, [284 508], [380 502], [332 505]
2442, [279 508], [376 503], [327 505]
2475, [276 508], [373 504], [324 506]
2508, [274 507], [368 504], [321 505]
2541, [269 508], [366 505], [317 506]
2574, [266 508], [358 504], [312 506]
2607, [263 508], [358 504], [310 506]
264, [501 500], [600 498], [550 499]
2640, [259 509], [356 503], [307 506]
2706, [253 509], [348 505], [300 507]
2805, [242 510], [340 506], [291 508]
2838, [240 510], [335 506], [287 508]
2871, [237 510], [332 507], [284 508]
2937, [231 509], [324 508], [277 508]
297, [498 501], [598 497], [548 499]
2970, [228 509], [323 501], [275 505]
33, [525 501], [625 500], [575 500]
330, [495 500], [595 497], [545 498]
3366, [187 513], [284 503], [235 508]
3399, [184 513], [280 502], [232 507]
3432, [180 514], [276 504], [228 509]
3498, [173 514], [268 509], [220 511]
3531, [170 515], [265 510], [217 512]
363, [492 501], [591 498], [541 499]
3663, [157 515], [251 509], [204 512]
3729, [150 517], [245 510], [197 513]
3762, [147 517], [240 506], [193 511]
3795, [143 517], [238 504], [190 510]
3828, [140 517], [234 510], [187 513]
3894, [133 517], [227 511], [180 514]
3927, [130 517], [225 512], [177 514]
396, [489 499], [588 496], [538 497]
3960, [128 518], [218 511], [173 514]
3993, [123 517], [216 509], [169 513]
4026, [120 518], [213 511], [166 514]
4059, [117 519], [209 512], [163 515]
4092, [114 518], [205 509], [159 513]
4125, [110 519], [200 511], [155 515]
4158, [107 520], [197 512], [152 516]
4191, [104 519], [194 512], [149 515]
4257, [ 97 521], [186 507], [141 514]
429, [485 501], [584 497], [534 499]
4323, [ 91 522], [182 514], [136 518]
4356, [ 88 522], [179 513], [133 517]
4422, [ 81 523], [174 514], [127 518]
4455, [ 79 523], [172 512], [125 517]
4488, [ 74 523], [162 510], [118 516]
4521, [ 71 525], [160 514], [115 519]
4554, [ 67 523], [155 511], [111 517]
4587, [ 65 524], [158 514], [111 519]
4686, [ 54 525], [142 514], [ 98 519]
4719, [ 51 525], [148 509], [ 99 517]
4752, [ 50 526], [143 509], [ 96 517]
528, [475 500], [572 497], [523 498]
561, [471 501], [568 497], [519 499]
66, [522 500], [624 500], [573 500]
99, [519 501], [618 498], [568 499]
