timestep, red, green, robot_middle
0, [535 506], [632 512], [583 509]
10032, [257 509], [321 437], [289 473]
10065, [257 509], [320 437], [288 473]
10098, [256 510], [319 435], [287 472]
10197, [256 512], [310 439], [283 475]
10230, [255 512], [308 437], [281 474]
10263, [256 513], [305 437], [280 475]
10296, [255 513], [306 434], [280 473]
10395, [255 514], [305 433], [280 473]
10659, [253 518], [293 432], [273 475]
10692, [251 521], [292 433], [271 477]
10725, [251 520], [287 433], [269 476]
10923, [251 523], [275 433], [263 478]
11022, [250 523], [271 433], [260 478]
11088, [250 524], [267 433], [258 478]
11286, [250 527], [256 437], [253 482]
11385, [250 530], [253 437], [251 483]
11682, [249 534], [234 439], [241 486]
12177, [251 542], [222 455], [236 498]
12474, [251 547], [215 463], [233 505]
12507, [252 548], [215 464], [233 506]
12639, [254 551], [217 467], [235 509]
12672, [254 552], [217 468], [235 510]
12738, [255 554], [217 471], [236 512]
12771, [256 556], [217 472], [236 514]
12936, [258 559], [219 476], [238 517]
132, [531 508], [630 511], [580 509]
13794, [270 584], [226 503], [248 543]
13827, [272 584], [231 502], [251 543]
13860, [272 585], [228 505], [250 545]
14124, [274 593], [233 511], [253 552]
14157, [275 594], [232 512], [253 553]
1419, [489 506], [582 514], [535 510]
14223, [275 597], [233 513], [254 555]
14256, [277 597], [235 515], [256 556]
14289, [278 598], [234 515], [256 556]
14322, [278 599], [235 516], [256 557]
14355, [278 600], [237 517], [257 558]
14421, [279 602], [239 518], [259 560]
14454, [282 602], [239 519], [260 560]
1452, [488 506], [584 512], [536 509]
14520, [282 604], [238 520], [260 562]
14685, [283 608], [242 526], [262 567]
14850, [285 613], [244 530], [264 571]
14883, [285 614], [245 532], [265 573]
14949, [286 616], [246 533], [266 574]
1518, [485 506], [579 514], [532 510]
15213, [289 623], [245 543], [267 583]
1551, [484 506], [581 513], [532 509]
15576, [296 634], [255 551], [275 592]
15840, [300 641], [259 559], [279 600]
16038, [301 646], [262 563], [281 604]
16071, [303 646], [263 563], [283 604]
16170, [304 650], [263 567], [283 608]
16434, [307 657], [267 575], [287 616]
165, [529 506], [631 514], [580 510]
16500, [309 660], [269 576], [289 618]
16698, [312 665], [271 581], [291 623]
16830, [314 669], [273 587], [293 628]
16896, [315 671], [275 587], [295 629]
16995, [315 673], [276 589], [295 631]
17061, [317 674], [277 592], [297 633]
17094, [317 676], [277 594], [297 635]
17127, [318 676], [277 594], [297 635]
17193, [319 678], [275 598], [297 638]
17292, [320 681], [279 599], [299 640]
17391, [321 684], [281 601], [301 642]
18051, [331 702], [291 620], [311 661]
18117, [332 704], [291 623], [311 663]
18150, [332 705], [292 622], [312 663]
18183, [333 706], [293 623], [313 664]
18216, [333 707], [293 624], [313 665]
18249, [334 708], [295 625], [314 666]
18381, [336 711], [297 629], [316 670]
18414, [336 712], [297 630], [316 671]
18447, [337 713], [297 631], [317 672]
18546, [338 715], [299 633], [318 674]
18579, [338 717], [299 634], [318 675]
18612, [339 718], [299 637], [319 677]
18645, [339 719], [299 639], [319 679]
18711, [340 721], [301 637], [320 679]
18744, [341 722], [301 639], [321 680]
18777, [342 723], [300 643], [321 683]
18843, [342 724], [303 642], [322 683]
19173, [347 734], [309 651], [328 692]
19470, [352 742], [313 659], [332 700]
198, [529 507], [628 513], [578 510]
20031, [360 757], [319 677], [339 717]
20493, [365 765], [313 688], [339 726]
20559, [365 766], [312 691], [338 728]
20823, [368 769], [307 701], [337 735]
20856, [369 770], [306 702], [337 736]
20889, [370 771], [307 703], [338 737]
20955, [370 771], [305 706], [337 738]
20988, [370 773], [304 709], [337 741]
21054, [370 773], [302 711], [336 742]
21087, [371 775], [303 711], [337 743]
21120, [372 775], [303 712], [337 743]
21351, [375 777], [299 723], [337 750]
21483, [377 776], [298 728], [337 752]
21516, [379 777], [299 731], [339 754]
21549, [377 779], [296 731], [336 755]
21615, [379 779], [297 734], [338 756]
21648, [378 779], [296 737], [337 758]
21714, [381 779], [297 738], [339 758]
21978, [384 782], [290 752], [337 767]
22044, [385 782], [297 756], [341 769]
22110, [386 783], [296 758], [341 770]
22143, [387 782], [299 760], [343 771]
22176, [386 783], [298 760], [342 771]
22275, [389 783], [297 766], [343 774]
22308, [388 785], [295 767], [341 776]
22341, [390 783], [298 768], [344 775]
22440, [391 784], [299 774], [345 779]
231, [528 507], [625 513], [576 510]
23331, [406 785], [315 817], [360 801]
2376, [459 504], [554 516], [506 510]
24123, [418 779], [349 845], [383 812]
24321, [420 779], [357 849], [388 814]
24354, [421 775], [358 848], [389 811]
24387, [421 776], [359 851], [390 813]
2442, [457 505], [552 516], [504 510]
24420, [423 774], [358 850], [390 812]
24453, [424 772], [363 850], [393 811]
24486, [423 773], [362 852], [392 812]
24519, [423 773], [363 852], [393 812]
24585, [425 771], [369 852], [397 811]
24618, [425 771], [370 854], [397 812]
24684, [425 771], [373 857], [399 814]
2475, [456 504], [551 516], [503 510]
25014, [428 764], [393 859], [410 811]
25344, [431 761], [393 850], [412 805]
25377, [432 759], [393 847], [412 803]
25410, [432 756], [394 849], [413 802]
25443, [431 757], [394 848], [412 802]
25476, [433 756], [395 847], [414 801]
