timestep, red, green, robot_middle
0, [515 490], [614 489], [564 489]
10032, [405 700], [337 634], [371 667]
10065, [407 703], [336 638], [371 670]
10098, [409 705], [338 642], [373 673]
10131, [413 707], [339 646], [376 676]
10164, [416 710], [341 650], [378 680]
10197, [417 713], [340 656], [378 684]
1023, [419 521], [490 460], [454 490]
10230, [420 715], [342 660], [381 687]
10263, [423 717], [343 663], [383 690]
10296, [426 718], [344 669], [385 693]
10329, [428 721], [346 673], [387 697]
10362, [432 723], [347 678], [389 700]
10395, [434 726], [348 683], [391 704]
10428, [439 726], [350 688], [394 707]
10461, [442 726], [352 692], [397 709]
10494, [445 728], [354 695], [399 711]
10527, [448 731], [356 699], [402 715]
1056, [417 524], [487 460], [452 492]
10560, [451 732], [358 703], [404 717]
10593, [454 733], [360 707], [407 720]
10626, [458 734], [362 711], [410 722]
10659, [461 735], [365 714], [413 724]
10692, [464 735], [369 718], [416 726]
10725, [468 736], [371 722], [419 729]
10758, [471 736], [373 725], [422 730]
10791, [475 736], [376 729], [425 732]
10824, [478 738], [379 732], [428 735]
10857, [480 739], [382 735], [431 737]
1089, [413 525], [482 460], [447 492]
10890, [484 740], [386 738], [435 739]
10923, [487 741], [389 742], [438 741]
10956, [490 741], [393 745], [441 743]
10989, [493 741], [396 749], [444 745]
11022, [496 741], [399 751], [447 746]
11055, [499 742], [403 752], [451 747]
11088, [503 741], [407 756], [455 748]
11121, [507 740], [411 758], [459 749]
11154, [511 740], [415 760], [463 750]
11187, [514 738], [420 762], [467 750]
1122, [412 527], [478 460], [445 493]
11220, [517 739], [424 764], [470 751]
11253, [522 738], [427 766], [474 752]
11286, [524 736], [432 767], [478 751]
11319, [527 735], [436 768], [481 751]
11352, [531 735], [440 770], [485 752]
11385, [534 732], [445 771], [489 751]
11418, [538 731], [450 772], [494 751]
11451, [541 730], [454 773], [497 751]
11484, [544 728], [458 775], [501 751]
11517, [547 726], [463 776], [505 751]
1155, [409 530], [473 460], [441 495]
