timestep, red, green, robot_middle
0, [518 499], [618 496], [568 497]
10032, [681 279], [686 184], [683 231]
10065, [681 282], [688 186], [684 234]
10098, [679 286], [688 191], [683 238]
10131, [680 289], [690 195], [685 242]
10164, [681 292], [692 198], [686 245]
10197, [680 295], [693 201], [686 248]
1023, [436 490], [531 517], [483 503]
10230, [679 299], [694 206], [686 252]
10263, [679 303], [693 209], [686 256]
10296, [679 306], [695 209], [687 257]
10329, [679 309], [697 216], [688 262]
10362, [678 312], [697 219], [687 265]
10395, [677 316], [697 221], [687 268]
10428, [677 319], [698 226], [687 272]
10461, [677 322], [701 231], [689 276]
10494, [676 326], [700 233], [688 279]
10527, [674 329], [700 237], [687 283]
1056, [432 489], [526 518], [479 503]
10560, [674 332], [703 241], [688 286]
10593, [673 336], [703 244], [688 290]
10626, [672 339], [703 248], [687 293]
10659, [671 343], [705 252], [688 297]
10692, [670 345], [705 257], [687 301]
10725, [668 348], [707 261], [687 304]
10758, [667 352], [707 264], [687 308]
10791, [665 355], [706 268], [685 311]
10824, [664 358], [705 271], [684 314]
10857, [663 361], [708 274], [685 317]
1089, [429 488], [522 518], [475 503]
10890, [661 364], [706 278], [683 321]
10923, [660 368], [706 282], [683 325]
10956, [659 370], [705 286], [682 328]
10989, [657 373], [705 289], [681 331]
11022, [656 375], [706 294], [681 334]
11055, [655 379], [706 297], [680 338]
11088, [653 382], [705 302], [679 342]
11121, [651 385], [705 305], [678 345]
11154, [649 389], [705 308], [677 348]
11187, [647 391], [704 313], [675 352]
1122, [427 487], [519 518], [473 502]
11220, [646 394], [702 316], [674 355]
11253, [645 397], [702 320], [673 358]
11286, [641 400], [701 323], [671 361]
11319, [640 402], [700 327], [670 364]
11352, [638 405], [700 330], [669 367]
11385, [636 408], [700 335], [668 371]
11418, [633 411], [699 339], [666 375]
11451, [631 413], [699 343], [665 378]
11484, [629 415], [697 348], [663 381]
11517, [626 417], [695 348], [660 382]
1155, [424 485], [516 519], [470 502]
11550, [624 420], [696 351], [660 385]
11583, [621 422], [693 356], [657 389]
11616, [619 424], [690 359], [654 391]
11649, [617 426], [689 362], [653 394]
11682, [613 429], [688 364], [650 396]
11715, [612 430], [687 368], [649 399]
11748, [609 432], [685 370], [647 401]
11781, [607 434], [684 374], [645 404]
11814, [604 436], [681 377], [642 406]
11847, [601 439], [680 381], [640 410]
1188, [419 484], [511 519], [465 501]
11880, [598 441], [679 385], [638 413]
11913, [596 443], [677 388], [636 415]
11946, [593 444], [675 392], [634 418]
11979, [591 446], [673 395], [632 420]
12012, [587 448], [671 399], [629 423]
12045, [583 451], [670 404], [626 427]
12078, [581 453], [668 407], [624 430]
12111, [578 454], [665 409], [621 431]
12144, [575 455], [663 413], [619 434]
12177, [572 457], [661 415], [616 436]
1221, [416 484], [508 520], [462 502]
12210, [568 458], [657 418], [612 438]
12243, [565 460], [655 421], [610 440]
12276, [564 461], [652 423], [608 442]
12309, [560 462], [650 425], [605 443]
12342, [556 464], [647 428], [601 446]
12375, [553 465], [645 430], [599 447]
12408, [550 466], [643 432], [596 449]
12441, [547 467], [640 436], [593 451]
