timestep, red, green, robot_middle
0, [520 497], [618 495], [569 496]
10032, [644 403], [686 321], [665 362]
10065, [642 405], [684 322], [663 363]
10098, [643 409], [685 326], [664 367]
10131, [641 410], [685 329], [663 369]
10164, [639 413], [686 333], [662 373]
10197, [639 416], [686 336], [662 376]
10230, [639 418], [687 339], [663 378]
10263, [636 420], [686 343], [661 381]
10296, [635 423], [687 345], [661 384]
10329, [633 425], [687 349], [660 387]
10362, [631 427], [688 351], [659 389]
10395, [630 430], [687 355], [658 392]
10428, [628 432], [687 358], [657 395]
10461, [627 434], [687 361], [657 397]
10494, [626 436], [685 365], [655 400]
10527, [624 438], [685 367], [654 402]
1056, [438 486], [528 522], [483 504]
10560, [622 440], [684 370], [653 405]
10593, [620 442], [684 374], [652 408]
10626, [619 444], [683 376], [651 410]
10659, [618 447], [683 378], [650 412]
10692, [615 448], [682 382], [648 415]
10725, [612 450], [681 386], [646 418]
10758, [609 453], [681 389], [645 421]
10791, [609 454], [680 392], [644 423]
10824, [607 456], [679 394], [643 425]
10857, [606 457], [678 398], [642 427]
1089, [438 484], [524 523], [481 503]
10890, [604 459], [676 400], [640 429]
10923, [601 461], [675 404], [638 432]
10956, [598 463], [675 408], [636 435]
10989, [596 465], [673 412], [634 438]
11022, [594 467], [673 415], [633 441]
11055, [591 468], [671 418], [631 443]
11088, [589 470], [670 421], [629 445]
11121, [587 471], [668 423], [627 447]
11154, [584 473], [666 426], [625 449]
11187, [582 475], [665 429], [623 452]
1122, [435 483], [522 523], [478 503]
11220, [579 476], [663 432], [621 454]
11253, [577 477], [662 434], [619 455]
11286, [573 480], [660 437], [616 458]
11319, [570 482], [658 440], [614 461]
11352, [568 483], [657 441], [612 462]
11385, [565 483], [655 445], [610 464]
11418, [563 485], [654 447], [608 466]
11451, [561 485], [651 448], [606 466]
11484, [558 487], [649 451], [603 469]
11517, [555 488], [647 454], [601 471]
1155, [434 481], [519 524], [476 502]
11550, [553 489], [645 457], [599 473]
11583, [550 489], [644 459], [597 474]
11616, [548 490], [642 462], [595 476]
11649, [545 491], [639 465], [592 478]
11682, [542 492], [637 467], [589 479]
11715, [540 493], [635 470], [587 481]
11748, [538 494], [632 472], [585 483]
11781, [535 494], [630 474], [582 484]
11814, [533 494], [627 477], [580 485]
11847, [530 497], [625 479], [577 488]
1188, [429 481], [515 525], [472 503]
11880, [528 496], [622 481], [575 488]
11913, [524 496], [620 483], [572 489]
11946, [522 498], [617 487], [569 492]
11979, [519 498], [616 489], [567 493]
12012, [517 498], [611 490], [564 494]
12045, [512 499], [609 493], [560 496]
12078, [511 499], [606 495], [558 497]
12111, [508 498], [604 496], [556 497]
12144, [506 498], [601 499], [553 498]
12177, [503 499], [597 500], [550 499]
1221, [427 479], [511 525], [469 502]
12210, [498 498], [595 502], [546 500]
12243, [497 498], [592 505], [544 501]
12276, [494 498], [588 505], [541 501]
12309, [490 499], [586 507], [538 503]
12342, [487 498], [581 508], [534 503]
12375, [485 497], [579 510], [532 503]
12408, [482 498], [577 512], [529 505]
12441, [479 498], [574 514], [526 506]
12474, [477 496], [571 515], [524 505]
12507, [474 497], [568 516], [521 506]
1254, [425 478], [508 525], [466 501]
12540, [471 496], [565 517], [518 506]
12573, [468 496], [561 519], [514 507]
12606, [466 496], [559 519], [512 507]
12639, [462 495], [555 521], [508 508]
12672, [459 495], [551 522], [505 508]
12705, [457 494], [549 524], [503 509]
12738, [454 494], [546 524], [500 509]
12771, [451 493], [541 525], [496 509]
12804, [448 491], [538 525], [493 508]
12837, [446 491], [534 526], [490 508]
1287, [423 477], [505 526], [464 501]
12870, [443 490], [532 526], [487 508]
12903, [440 489], [528 525], [484 507]
12936, [438 487], [526 526], [482 506]
12969, [435 487], [523 527], [479 507]
13002, [434 486], [522 527], [478 506]
13035, [429 484], [517 528], [473 506]
13068, [428 482], [512 528], [470 505]
13101, [425 481], [510 528], [467 504]
13134, [422 480], [507 527], [464 503]
13167, [420 479], [503 527], [461 503]
132, [518 497], [615 496], [566 496]
1320, [420 476], [502 526], [461 501]
13200, [418 478], [498 528], [458 503]
13233, [416 476], [498 528], [457 502]
13266, [412 474], [496 531], [454 502]
13299, [411 473], [493 531], [452 502]
13332, [408 472], [482 528], [445 500]
13365, [406 470], [480 527], [443 498]
13398, [403 469], [480 530], [441 499]
13431, [401 467], [477 531], [439 499]
13464, [399 465], [476 529], [437 497]
13497, [397 464], [472 529], [434 496]
1353, [418 474], [498 525], [458 499]
13530, [395 462], [469 528], [432 495]
13563, [393 461], [466 526], [429 493]
13596, [390 459], [459 525], [424 492]
13629, [389 456], [456 523], [422 489]
13662, [387 454], [452 522], [419 488]
13728, [382 450], [444 519], [413 484]
13761, [381 447], [442 518], [411 482]
13794, [378 446], [440 517], [409 481]
13827, [377 443], [436 517], [406 480]
1386, [414 473], [495 526], [454 499]
13860, [375 441], [433 517], [404 479]
13893, [373 439], [431 516], [402 477]
13926, [371 437], [428 515], [399 476]
13959, [369 436], [426 512], [397 474]
13992, [367 433], [421 513], [394 473]
14025, [366 431], [419 511], [392 471]
14058, [365 429], [417 510], [391 469]
14091, [363 427], [413 510], [388 468]
14124, [362 424], [409 507], [385 465]
14157, [359 423], [407 504], [383 463]
1419, [412 471], [492 526], [452 498]
14190, [363 422], [404 503], [383 462]
14289, [355 413], [399 500], [377 456]
14322, [354 410], [392 494], [373 452]
14355, [353 407], [392 498], [372 452]
14388, [354 404], [388 494], [371 449]
14421, [351 403], [384 489], [367 446]
14454, [351 400], [383 489], [367 444]
14487, [350 397], [378 487], [364 442]
1452, [410 469], [488 526], [449 497]
14520, [349 393], [377 483], [363 438]
14553, [348 391], [374 483], [361 437]
14586, [347 389], [372 481], [359 435]
14619, [346 385], [372 481], [359 433]
14652, [346 383], [369 478], [357 430]
14685, [347 379], [365 473], [356 426]
14718, [345 377], [364 473], [354 425]
14751, [344 374], [361 468], [352 421]
14784, [343 371], [361 470], [352 420]
14817, [343 368], [353 466], [348 417]
1485, [408 468], [485 525], [446 496]
14850, [342 366], [355 463], [348 414]
14883, [342 363], [354 455], [348 409]
14916, [341 360], [350 453], [345 406]
14949, [340 358], [347 452], [343 405]
14982, [340 356], [346 448], [343 402]
15015, [339 352], [345 445], [342 398]
1518, [405 466], [481 525], [443 495]
15411, [339 319], [327 411], [333 365]
1551, [403 464], [478 525], [440 494]
15675, [344 297], [318 387], [331 342]
15741, [346 292], [316 381], [331 336]
15774, [347 288], [315 377], [331 332]
1584, [402 463], [474 524], [438 493]
